2013	03	17	00	00	00	222	-124	98
2013	03	17	00	01	00	228	-112	117
2013	03	17	00	02	00	231	-112	119
2013	03	17	00	03	00	233	-126	107
2013	03	17	00	04	00	292	-200	92
2013	03	17	00	05	00	330	-246	84
2013	03	17	00	06	00	297	-220	77
2013	03	17	00	07	00	254	-172	82
2013	03	17	00	08	00	269	-173	96
2013	03	17	00	09	00	317	-210	107
2013	03	17	00	10	00	289	-181	109
2013	03	17	00	11	00	292	-184	108
2013	03	17	00	12	00	293	-185	108
2013	03	17	00	13	00	292	-182	109
2013	03	17	00	14	00	296	-186	110
2013	03	17	00	15	00	292	-182	110
2013	03	17	00	16	00	294	-184	110
2013	03	17	00	17	00	284	-175	109
2013	03	17	00	18	00	277	-169	108
2013	03	17	00	19	00	272	-167	105
2013	03	17	00	20	00	281	-175	105
2013	03	17	00	21	00	282	-178	104
2013	03	17	00	22	00	284	-182	102
2013	03	17	00	23	00	284	-182	102
2013	03	17	00	24	00	281	-182	99
2013	03	17	00	25	00	283	-187	96
2013	03	17	00	26	00	285	-190	95
2013	03	17	00	27	00	284	-188	96
2013	03	17	00	28	00	281	-183	98
2013	03	17	00	29	00	278	-174	105
2013	03	17	00	30	00	269	-164	104
2013	03	17	00	31	00	258	-161	97
2013	03	17	00	32	00	259	-167	92
2013	03	17	00	33	00	259	-171	87
2013	03	17	00	34	00	246	-164	82
2013	03	17	00	35	00	234	-157	77
2013	03	17	00	36	00	230	-155	75
2013	03	17	00	37	00	267	-193	74
2013	03	17	00	38	00	275	-205	70
2013	03	17	00	39	00	266	-197	68
2013	03	17	00	40	00	232	-162	70
2013	03	17	00	41	00	245	-173	72
2013	03	17	00	42	00	239	-167	72
2013	03	17	00	43	00	220	-151	69
2013	03	17	00	44	00	201	-128	73
2013	03	17	00	45	00	193	-125	68
2013	03	17	00	46	00	184	-127	57
2013	03	17	00	47	00	250	-191	59
2013	03	17	00	48	00	271	-211	61
2013	03	17	00	49	00	256	-176	81
2013	03	17	00	50	00	207	-148	59
2013	03	17	00	51	00	251	-196	55
2013	03	17	00	52	00	251	-197	54
2013	03	17	00	53	00	256	-196	60
2013	03	17	00	54	00	190	-125	65
2013	03	17	00	55	00	228	-153	75
2013	03	17	00	56	00	201	-126	75
2013	03	17	00	57	00	191	-126	65
2013	03	17	00	58	00	192	-134	59
2013	03	17	00	59	00	206	-153	53
2013	03	17	01	00	00	215	-162	52
